H1 13d gene	H1 13d RPKM
ISLjo1|1|NC_005362	5.41188227925226
ISKpn26|1|NC_016845	4.795676261252114
ISLre2|1|AP007281	3.7993974272584907
IS421|1|Y07501	3.419152791926992
ISLh1|1|X81979	2.861852212120181
IS153|1|AJ239042	2.442858764915363
ISLfr1|1|AB292687	2.0316941283364547
ISEc1|1|L02370	1.9548231415347113
ISL2|1|X77332	1.871766977119007
IS150|1|X07037	1.5899178956223228
ISLhe30|1|CBUL010000181	1.5668059184079104
IS30|1|X00792	1.5031951013156506
ISEnfa4|1|JQ911741	1.386254696908164
ISEc5|1|L02372	1.2439783627948162
ISLdl1|1|AJ302652	1.2171095614763987
ISLsa1|1|CR936503	1.1083340692671553
ISLjo2|1|NC_005362	1.0992307093553102
ISEc17|1|DQ388534	0.9118646754304498
ISS1N|1|M37395	0.8518260606620092
ISL5|1|AY040214	0.7214627432022049
ISEf1|1|NC_004668	0.6858748948828136
ISEc52|1|HG941718	0.36708024374128184
IS3|1|X02311	0.3647458701721799
ISEfm2|1|AY887085	0.34630211673705835
ISEc48|1|ADUS01000070	0.34345082685374423
ISEnfa1|1|AY884205	0.28678144042287645
IS621|1|NC_009800	0.161000106904071
H3 23d gene	H3 23d RPKM
MITEEc1|1|U00096	148.62533134908927
ISKpn26|1|NC_016845	25.14636701782385
IS421|1|Y07501	16.91782261919168
IS629|1|X51586	14.29251601209138
IS30|1|X00792	13.160945664561305
IS3|1|X02311	11.836328089579826
IS679|1|NC_002142	11.613127075821929
IS621|1|NC_009800	10.966480306335177
ISEc1|1|L02370	9.249857426294797
IS4|1|J01733	7.9606304189885115
ISKpn19|1|NC_010886	7.549738349778077
ISEc32|1|NC_011747	3.373323711114854
IS609|1|BA000007	3.0362486492109295
IS150|1|X07037	2.8606713229956826
ISLjo1|1|NC_005362	2.732424835113159
IS102|1|J01728	2.3711017780918735
ISEc31|1|NC_011751	2.1094446100241275
IS5|1|J01735	1.9739145100216475
ISEch12|1|CP002038	1.9478347146786694
ISSfl9|1|NC_004337	1.9219743707385815
ISEc5|1|L02372	1.5987407897299648
Tn6062|1|AM412236	1.4921734814498155
ISLhe30|1|CBUL010000181	1.438309658216993
Tn5403|1|X75779.1	1.408663909050904
ISLdl1|1|AJ302652	1.368683262295348
ISEc26|1|NC_002655	1.3556481836068208
ISLre2|1|AP007281	1.3146333500263598
ISLcr1|1|NC_014106	1.2000924355504967
ISL4|1|AY040213	1.1559394569204726
IS100|1|Z32853	1.1323098307775865
ISLh1|1|X81979	1.0727517461233809
ISEc17|1|DQ388534	0.937530937788501
ISEc38|1|AJ303141	0.7705230311876748
ISEsa1|1|LCWW01000014	0.7330105156854781
IS153|1|AJ239042	0.6540671693311526
ISSsu6|1|AB627109	0.5205746467769836
ISEc47|1|AIFX01000063	0.4641534512939529
ISL6|1|AY040215	0.404462935438249
Tn1721|1|X61367.1	0.37058521582572673
ISEc78|1|MF156714	0.36297104628783367
ISLsa1|1|CR936503	0.28488258930867977
ISEfa4|1|AY082011	0.2337633297577829
ISSso4|1|NC_007385	0.16765739950785644
ISLhe6|1|AY616518	0.11297068196723506
H3 30d gene	H3 30d RPKM
IS679|1|NC_002142	340.0580191561179
ISL4|1|AY040213	82.23174212536203
MITEEc1|1|U00096	60.46129864472293
ISLdl1|1|AJ302652	57.00418708321561
ISLjo1|1|NC_005362	45.67500556366031
ISSfl9|1|NC_004337	35.199292556523595
ISLh1|1|X81979	32.584467568170716
IS629|1|X51586	31.863893464525002
ISLcr1|1|NC_014106	26.087498744620486
IS3|1|X02311	21.739277132065876
IS100|1|Z32853	20.513280403370395
ISVsa5|1|NC_011312	18.231285057001216
ISL2|1|X77332	16.216666837034868
ISLhe30|1|CBUL010000181	14.12063878025142
ISLre2|1|AP007281	9.117022205745258
ISL6|1|AY040215	7.459007063210211
ISLhe6|1|AY616518	3.799100757752705
IS421|1|Y07501	3.694356549081431
ISL5|1|AY040214	3.6210540393431145
ISLjo2|1|NC_005362	3.338714267966088
ISEc1|1|L02370	2.9111946849999026
ISLhe2|1|CP000517	2.844170352379624
ISEc17|1|DQ388534	2.3519100990831503
ISLhe4|1|CP000517	2.264067673695707
ISEfm1|1|AF138282	2.1508342116495283
ISLdl4|1|AJ316615	1.7920671742256833
ISEc5|1|L02372	1.672388436063774
IS150|1|X07037	1.6624728351107505
ISEc47|1|AIFX01000063	1.5105538298715866
IS30|1|X00792	1.5063011445397405
ISEc30|1|NC_011603	1.2527145175273176
ISEc26|1|NC_002655	0.9804130987748917
IS609|1|BA000007	0.8234376319444439
ISEic2|1|NC_012779	0.6689082715263103
ISCgl2|1|NC_003450	0.664003088471874
ISEc45|1|NC_004431	0.6078883048079461
ISLsa1|1|CR936503	0.5408257039437583
ISEc38|1|AJ303141	0.5108097427741569
MTnSag1|1|AY928180	0.37106702259316526
ISLjo5|1|NC_005362	0.30448336361285905
ISCx1|1|U21300	0.1491883271806476
IS153|1|AJ239042	0.14190761911060712
ISEc52|1|HG941718	0.12794390939012337
IS6100|1|X53635	0.09086925382821262
ISSso4|1|NC_007385	0.060625430908890915
ISLhe10|1|NC_010080	0.05004064040602447
